一,一
二,二
五,五
口,口
人,人
耳,耳
牙,牙
我,我
袜,袜
雨衣,雨衣
乌鸦,乌鸦
阿姨,阿姨
木,木
土,土
八,八
也,也
不,不
女儿,女儿
笔,笔
怕,怕
扶,扶
踢,踢
女儿,女儿
马路,马路
力,力
禾,禾
七,七
可,可
去,去
几个,几个
哥哥,哥哥
哭,哭
河,河
去,去
洗衣机,洗衣机
车,车
子,子
巴士,巴士
五个,五个
十四日,十四日
祖屋,祖屋
擦,擦
紫色,紫色
蜘蛛,蜘蛛
读书,读书
车,车
热,热
山,山
羊毛,羊毛
三,三
王,王
书,书
早,早
午,午
草,草
老师,老师
男孩,男孩
书包,书包
太阳,太阳
来和去,来和去
田,田
刀,刀
在,在
上下,上下
大小,大小
来去,来去
上下,上下
笑,笑
跳舞,跳舞
面包,面包
香蕉,香蕉
写字,写字
开关,开关
多少,多少
两个,两个
火,火
长,长
广,广
刷牙,刷牙
芒果,芒果
快乐,快乐
图书馆,图书馆
广场,广场
目,目
手,手
本子,本子
工人,工人
开门,开门
又,又
头,头
狗,狗
肉,肉
工厂,工厂
打雷,打雷
本子,本子
生日,生日
六口人,六口人
九头牛,九头牛
贝,贝
支,支
什么,什么
文,文
九,九
打球,打球
纸巾,纸巾
眼睛,眼睛
熊猫,熊猫
日月,日月
正反,正反
天下,天下
水,水
寸,寸
白,白
古,古
水果,水果
存钱,存钱
同学,同学
运动,运动
公园,公园