新闻,新闻
国内外,国内外
全岛,全岛
观众,观众
总共,总共
节目精彩,节目精彩
忍不住,忍不住
刚才,刚才
建议,建议
舞蹈,舞蹈
秘密,秘密
关爱家人,关爱家人
苹果,苹果
词语搭配,词语搭配
一串鱼丸,一串鱼丸
打鼓,打鼓
递给我,递给我
姑姑,姑姑
乌云密布,乌云密布
紧接着,紧接着
心里暖暖的,心里暖暖的
表示,表示
忽然,忽然
灵机一动,灵机一动
挤在一起,挤在一起
靠得紧紧的,靠得紧紧的
担心,担心
害怕,害怕
尊敬,尊敬
长辈,长辈
警察,警察
感到后悔,感到后悔
发脾气,发脾气
一碗面,一碗面
吞下肚子,吞下肚子
看书看得入迷,看书看得入迷
三更半夜,三更半夜
含不得,含不得
睁开眼睛,睁开眼睛
上补习班,上补习班
在街上走,在街上走
煮面,煮面
流下眼泪,流下眼泪
值日,值日
负责,负责
食堂,食堂
提醒,提醒
归还,归还
碗盘,碗盘
插队,插队
注意安全,注意安全
向父母保证,向父母保证
眉头,眉头
保持安静,保持安静
由于,由于
干净,干净
责任,责任
影响学业,影响学业
难为情,难为情
打针,打针
结束,结束
课室,课室
继续,继续
吃药,吃药
提出建议,提出建议
戴眼镜,戴眼镜
视力变差,视力变差
闷闷不乐,闷闷不乐
胆小,胆小
疼痛,疼痛
伸手,伸手
欺骗,欺骗
闭上眼睛,闭上眼睛
功夫,功夫
因为......所以......,因为......所以......
华乐团,华乐团
训练,训练
欢迎,欢迎
鼓励,鼓励
许多,许多
好久不见,好久不见
内容丰富,内容丰富
童子军,童子军
工作辛苦,工作辛苦
幸运,幸运
分享,分享
身体健康,身体健康
地铁车厢,地铁车厢
乘客,乘客
功告,功告
批评,批评
道歉,道歉
图书馆,图书馆
拼命,拼命
一群学生,一群学生
播摆,播摆
遵守秩序,遵守秩序
耐心排队,耐心排队
抢先观看,抢先观看
交通规则,交通规则
发生车祸,发生车祸
另一个伤者,另一个伤者
了解,了解
一辆汽车,一辆汽车
司机,司机
被困在车里,被困在车里
顺利完成任务,顺利完成任务
流了一点儿血,流了一点儿血
医院,医院
见义勇为,见义勇为
表扬,表扬
组屋,组屋
热食中心,热食中心
居民,居民
饮料,饮料
糖果,糖果
讨厌,讨厌
炸鸡,炸鸡
其中一个,其中一个
指着,指着
告示牌,告示牌
清楚,清楚
一遍,一遍
不是......而是......,不是......而是......