很长,很长
合适,合适
有点儿,有点儿
多少钱,多少钱
朋友,朋友
同学,同学
年级,年级
还会,还会
专心,专心
现在,现在
年花,年花
时候,时候
龙,龙
华文,华文
一张贺年卡,一张贺年卡
拿着肉干,拿着肉干
对他说,对他说
给我红包,给我红包
几岁,几岁
学业进步,学业进步
主人,主人
一杯汽水,一杯汽水
弟弟,弟弟
一片蛋糕,一片蛋糕
把,把
小羊,小羊
耳朵,耳朵
家里,家里
舌头,舌头
没吃青草,没吃青草
非常开心,非常开心
画出一排树,画出一排树
一片树林,一片树林
先,先
送给,送给
红色,红色
太阳,太阳
云朵,云朵
几支彩色笔,几支彩色笔
天空,天空
然后,然后
音乐室,音乐室
旁边,旁边
向前直走 ,向前直走 
办公室,办公室
足球场,足球场
运动,运动
很远,很远
从,从
看见,看见
已经,已经
过马路,过马路
行人天桥,行人天桥
汽车,汽车
才,才
安全,安全
互相,互相
美丽极了,美丽极了
跑步,跑步
应该,应该
热闹,热闹
要,要
奶茶,奶茶
炒饭,炒饭
牛奶,牛奶
豆奶,豆奶
排队,排队
找座位,找座位
走进,走进
分工合作,分工合作
吃完,吃完
笑,笑
买菜,买菜
园丁,园丁
种花,种花
演员,演员
发生火灾,发生火灾
灭火,灭火
坏人,坏人
全都抓起来,全都抓起来
让,让
住,住
妹妹,妹妹
打雷,打雷
闪电,闪电
姐姐,姐姐
雨伞,雨伞
刮风,刮风
门铃响了,门铃响了
哥哥,哥哥
身体,身体
忘记,忘记
正在,正在
小鸟捉虫,小鸟捉虫
采果子,采果子
鱼网,鱼网
树枝,树枝
叶子,叶子
吃饱,吃饱
别的地方,别的地方
好像,好像
帮,帮